season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2000,Bundesliga,1.FC Kaiserslautern,summer,in,Vratislav Lokvenc,14,26,Czech Republic,Centre-Forward,CF,,AC Sparta Prague,Czech Republic,3150000.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,in,Petr Gabriel,5,27,Czech Republic,Centre-Back,CB,,AC Sparta Prague,Czech Republic,1500000.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,in,Tomasz Klos,705,27,Poland,Centre-Back,CB,,AJ Auxerre,France,1100000.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,in,Dimitrios Grammozis,7,21,Greece,Defensive Midfield,DM,,Hamburger SV,Germany,900000.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,in,Alan Grozdanic,13901,18,Bosnia-Herzegovina,Midfielder,Midfielder,,NK Rudar Velenje,Slovenia,0.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,in,Murat Yakin,27,25,Switzerland,Centre-Back,CB,,FC Basel 1893,Switzerland,,0
2000,Bundesliga,1.FC Kaiserslautern,winter,in,Nenad Bjelica,703,29,Croatia,Central Midfield,CM,,NK Osijek,Croatia,500000.0,0
2000,Bundesliga,1.FC Kaiserslautern,winter,in,José Dominguez,704,26,Portugal,Left Winger,LW,,Tottenham Hotspur,England,320000.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,out,Ciriaco Sforza,219,30,Switzerland,Central Midfield,CM,,Bayern Munich,Germany,2300000.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,out,Martin Wagner,678,32,Germany,Left Midfield,LM,,VfL Wolfsburg,Germany,0.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,out,Andreas Reinke,361,31,Germany,Goalkeeper,GK,,Iraklis Thessaloniki,Greece,0.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,out,Júnior,770,22,Brazil,Right Midfield,RM,,1.FC Nuremberg,Germany,0.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,out,János Hrutka,8201,25,Hungary,Centre-Back,CB,,Ferencvárosi TC,Hungary,0.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,out,Roger Lutz,8209,35,Germany,Centre-Back,CB,,F91 Dudelange,Luxembourg,0.0,0
2000,Bundesliga,1.FC Kaiserslautern,summer,out,János Hrutka,8201,25,Hungary,Centre-Back,CB,,Eintracht Frankfurt,Germany,,0
2000,Bundesliga,1.FC Kaiserslautern,winter,out,Igli Tare,101,27,Albania,Centre-Forward,CF,,Brescia Calcio,Italy,0.0,1
2000,Bundesliga,1.FC Kaiserslautern,winter,out,Murat Yakin,27,26,Switzerland,Centre-Back,CB,,FC Basel 1893,Switzerland,,0
2000,Bundesliga,1.FC Kaiserslautern,winter,out,Samir Kamouna,21,28,Egypt,Sweeper,SW,,Al Ahly FC,Egypt,,0
2000,Bundesliga,1.FC Köln,summer,in,Darko Pivaljević,46,25,Serbia,Centre-Forward,CF,,Royal Antwerp FC,Belgium,1500000.0,0
2000,Bundesliga,1.FC Köln,summer,in,Miroslav Baranek,32,26,Czech Republic,Attacking Midfield,AM,,AC Sparta Prague,Czech Republic,1500000.0,0
2000,Bundesliga,1.FC Köln,summer,in,Markus Kreuz,42,23,Germany,Left Midfield,LM,,Hannover 96,Germany,1000000.0,0
2000,Bundesliga,1.FC Köln,summer,in,Jens Keller,28,29,Germany,Centre-Back,CB,,VfB Stuttgart,Germany,750000.0,0
2000,Bundesliga,1.FC Köln,summer,in,Alexander Bade,31,29,Germany,Goalkeeper,GK,,Hamburger SV,Germany,125000.0,0
2000,Bundesliga,1.FC Köln,summer,in,Alassane Ouédraogo,45,19,Burkina Faso,Right Midfield,RM,,Royal Charleroi SC,Belgium,75000.0,0
2000,Bundesliga,1.FC Köln,summer,in,Ivan Vukomanovic,53,23,Serbia,Defensive Midfield,DM,,FC Girondins Bordeaux,France,0.0,0
2000,Bundesliga,1.FC Köln,summer,in,Ivica Grlic,40,24,Bosnia-Herzegovina,Defensive Midfield,DM,,SC Fortuna Köln,Germany,0.0,0
2000,Bundesliga,1.FC Köln,summer,in,Archil Arveladze,30,27,Georgia,Centre-Forward,CF,,NAC Breda,Netherlands,0.0,0
2000,Bundesliga,1.FC Köln,winter,in,Andrew Sinkala,684,21,Zambia,Centre-Back,CB,,FC Bayern Munich II,Germany,75000.0,0
2000,Bundesliga,1.FC Köln,summer,out,Pascal Ojigwe,83,23,Nigeria,Defensive Midfield,DM,,Bayer 04 Leverkusen,Germany,2100000.0,0
2000,Bundesliga,1.FC Köln,summer,out,Ralph Hasenhüttl,867,32,Austria,Centre-Forward,CF,,SpVgg Greuther Fürth,Germany,0.0,0
2000,Bundesliga,1.FC Köln,summer,out,Sebastian Selke,1433,26,Germany,Goalkeeper,GK,,KFC Uerdingen 05,Germany,0.0,0
2000,Bundesliga,1.FC Köln,summer,out,Ronny Teuber,842,34,Germany,Goalkeeper,GK,,SpVgg Greuther Fürth,Germany,,0
2000,Bundesliga,1.FC Köln,summer,out,Markus Bähr,40799,25,Germany,Right-Back,RB,,SV Sandhausen,Germany,,0
2000,Bundesliga,1.FC Köln,winter,out,Ivan Vukomanovic,53,23,Serbia,Defensive Midfield,DM,,Red Star Belgrade,Serbia,0.0,0
2000,Bundesliga,1.FC Köln,winter,out,Michael Rösele,47,26,Germany,Right Midfield,RM,,LR Ahlen,Germany,,0
2000,Bundesliga,Bayer 04 Leverkusen,summer,in,Marquinhos,97,18,Brazil,Attacking Midfield,AM,,Avaí FC,Brazil,4500000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,summer,in,Pascal Ojigwe,83,23,Nigeria,Defensive Midfield,DM,,1.FC Köln,Germany,2100000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,summer,in,Pascal Zuberbühler,95,29,Switzerland,Goalkeeper,GK,,FC Basel 1893,Switzerland,1500000.0,1
2000,Bundesliga,Bayer 04 Leverkusen,summer,in,Andreas Neuendorf,347,25,Germany,Central Midfield,CM,,Hertha BSC,Germany,750000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,summer,in,Seyed Ali Mousavi,106914,26,Iran,Centre-Forward,CF,,SC Fortuna Köln,Germany,0.0,0
2000,Bundesliga,Bayer 04 Leverkusen,winter,in,Lúcio,77,22,Brazil,Centre-Back,CB,,Sport Club Internacional,Brazil,8500000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,winter,in,Diego Placente,76,23,Argentina,Left-Back,LB,,CA River Plate,Argentina,7300000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,winter,in,Dimitar Berbatov,65,19,Bulgaria,Centre-Forward,CF,,CSKA Sofia,Bulgaria,2500000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,summer,out,Emerson,70,24,Brazil,Defensive Midfield,DM,,AS Roma,Italy,18000000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,summer,out,Zoran Mamic,78,28,Croatia,Centre-Back,CB,,VfL Bochum,Germany,500000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,summer,out,Andreas Voss,677,21,Germany,Defensive Midfield,DM,,VfL Wolfsburg,Germany,150000.0,1
2000,Bundesliga,Bayer 04 Leverkusen,summer,out,Miroslaw Spizak,91,21,Poland,Centre-Forward,CF,,SpVgg Unterhaching,Germany,150000.0,1
2000,Bundesliga,Bayer 04 Leverkusen,summer,out,Stefan Beinlich,64,28,Germany,Attacking Midfield,AM,,Hertha BSC,Germany,0.0,0
2000,Bundesliga,Bayer 04 Leverkusen,summer,out,Mehdi Pashazadeh,5279,26,Iran,Centre-Back,CB,,Esteghlal FC,Iran,0.0,0
2000,Bundesliga,Bayer 04 Leverkusen,summer,out,Rüdiger Vollborn,81665,37,Germany,Goalkeeper,GK,,Retired,,,0
2000,Bundesliga,Bayer 04 Leverkusen,winter,out,Vratislav Gresko,71,23,Slovakia,Left-Back,LB,,Inter Milan,Italy,5000000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,winter,out,Torben Hoffmann,555,26,Germany,Centre-Back,CB,,TSV 1860 Munich,Germany,750000.0,0
2000,Bundesliga,Bayer 04 Leverkusen,winter,out,Seyed Ali Mousavi,106914,26,Iran,Centre-Forward,CF,,Esteghlal FC,Iran,0.0,0
2000,Bundesliga,Bayer 04 Leverkusen,winter,out,Landon Donovan,68,19,United States,Centre-Forward,CF,,San Jose Earthquakes,United States,0.0,1
2000,Bundesliga,Bayer 04 Leverkusen,winter,out,Pascal Zuberbühler,95,29,Switzerland,Goalkeeper,GK,,FC Basel 1893,Switzerland,0.0,1
2000,Bundesliga,Bayern Munich,summer,in,Willy Sagnol,213,23,France,Right-Back,RB,,AS Monaco,France,7700000.0,0
2000,Bundesliga,Bayern Munich,summer,in,Ciriaco Sforza,219,30,Switzerland,Central Midfield,CM,,1.FC Kaiserslautern,Germany,2300000.0,0
2000,Bundesliga,Bayern Munich,summer,in,Alou Diarra,1327,18,France,Defensive Midfield,DM,,CS Louhans-Cuiseaux 71,France,0.0,0
2000,Bundesliga,Bayern Munich,summer,out,David Jarolím,773,21,Czech Republic,Central Midfield,CM,,1.FC Nuremberg,Germany,200000.0,0
2000,Bundesliga,Bayern Munich,summer,out,Alexander Bugera,362,21,Germany,Left-Back,LB,,SpVgg Unterhaching,Germany,75000.0,1
2000,Bundesliga,Bayern Munich,summer,out,Nils-Eric Johansson,205,20,Sweden,Left-Back,LB,,1.FC Nuremberg,Germany,0.0,0
2000,Bundesliga,Bayern Munich,summer,out,Sven Scheuer,216,29,Germany,Goalkeeper,GK,,Adanaspor,Türkiye,0.0,0
2000,Bundesliga,Bayern Munich,summer,out,Markus Babbel,192,27,Germany,Centre-Back,CB,,Liverpool FC,England,0.0,0
2000,Bundesliga,Bayern Munich,summer,out,Frank Wiblishauser,768,22,Germany,Left-Back,LB,,1.FC Nuremberg,Germany,0.0,0
2000,Bundesliga,Bayern Munich,winter,out,Thomas Strunz,221,32,Germany,Defensive Midfield,DM,,Retired,,,0
2000,Bundesliga,Borussia Dortmund,summer,in,Sunday Oliseh,127,25,Nigeria,Defensive Midfield,DM,,Juventus FC,Italy,7500000.0,0
