season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
1995,Bundesliga,1.FC Kaiserslautern,summer,in,Bernd Hollerbach,310,25,Germany,Left-Back,LB,,FC St. Pauli,Germany,900000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,in,Uwe Wegmann,8196,31,Germany,Attacking Midfield,AM,,VfL Bochum,Germany,850000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,in,Claus-Dieter Wollitz,54,29,Germany,Attacking Midfield,AM,,VfL Wolfsburg,Germany,700000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,in,Frank Greiner,655,28,Germany,Right Midfield,RM,,1.FC Köln,Germany,650000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,in,Mario Kern,8195,25,Germany,Centre-Back,CB,,SG Dynamo Dresden,Germany,600000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,in,Mark Schwarzer,3357,22,Australia,Goalkeeper,GK,,SG Dynamo Dresden,Germany,250000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,in,Harry Koch,12,25,Germany,Centre-Back,CB,,TSV Vestenbergsgreuth,Germany,125000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,in,Pascal Ojigwe,83,18,Nigeria,Defensive Midfield,DM,,Enyimba Aba,Nigeria,0.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,in,Horst Siegl,8202,26,Czech Republic,Centre-Forward,CF,,AC Sparta Prague,Czech Republic,,0
1995,Bundesliga,1.FC Kaiserslautern,winter,in,Arílson,100108,22,Brazil,Attacking Midfield,AM,,Grêmio Foot-Ball Porto Alegrense,Brazil,3000000.0,0
1995,Bundesliga,1.FC Kaiserslautern,winter,in,Jürgen Rische,672,25,Germany,Centre-Forward,CF,,VfB Leipzig,Germany,1100000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,out,Ciriaco Sforza,219,25,Switzerland,Central Midfield,CM,,Bayern Munich,Germany,3300000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,out,Stefan Kuntz,8194,32,Germany,Centre-Forward,CF,,Besiktas JK,Türkiye,1500000.0,0
1995,Bundesliga,1.FC Kaiserslautern,summer,out,Marco Haber,469,23,Germany,Defensive Midfield,DM,,VfB Stuttgart,Germany,850000.0,0
