season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Jan Simunek,56360,23,Czech Republic,Centre-Back,CB,3000000.0,VfL Wolfsburg,Germany,850000.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Leon Jessen,22487,24,Denmark,Left-Back,LB,1000000.0,FC Midtjylland,Denmark,800000.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Stiven Rivic,20284,24,Croatia,Attacking Midfield,AM,1500000.0,FC Energie Cottbus,Germany,800000.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Iliyan Mitsanski,32597,24,Bulgaria,Centre-Forward,CF,1500000.0,Zaglebie Lubin,Poland,600000.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Ivo Ilicevic,30308,23,Croatia,Left Winger,LW,1500000.0,VfL Bochum,Germany,500000.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Rodnei,58453,24,Brazil,Centre-Back,CB,2500000.0,Hertha BSC,Germany,450000.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Erwin Hoffer,25785,23,Austria,Centre-Forward,CF,3300000.0,SSC Napoli,Italy,350000.0,1
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Jan Moravek,63022,20,Czech Republic,Central Midfield,CM,2000000.0,FC Schalke 04,Germany,150000.0,1
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Clemens Walch,37831,23,Austria,Right Midfield,RM,300000.0,VfB Stuttgart,Germany,100000.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Oliver Kirch,2150,27,Germany,Defensive Midfield,DM,1500000.0,Arminia Bielefeld,Germany,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Christian Tiffert,613,28,Germany,Central Midfield,CM,2000000.0,MSV Duisburg,Germany,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Chadli Amri,20914,25,Algeria,Right Winger,RW,1400000.0,1.FSV Mainz 05,Germany,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,in,Thanos Petsos,82110,19,Greece,Defensive Midfield,DM,100000.0,Bayer 04 Leverkusen,Germany,0.0,1
2010,Bundesliga,1.FC Kaiserslautern,winter,in,Lucão,143794,19,Brazil,Centre-Back,CB,,Bayer 04 Leverkusen,Germany,0.0,1
2010,Bundesliga,1.FC Kaiserslautern,winter,in,Adam Hlousek,62800,22,Czech Republic,Left-Back,LB,1000000.0,SK Slavia Prague,Czech Republic,0.0,1
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Alper Akçam,41105,22,Türkiye,Centre-Forward,CF,100000.0,Gaziantepspor,Türkiye,100000.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Christoph Buchner,57921,20,Germany,Centre-Back,CB,200000.0,1.FC Saarbrücken,Germany,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Sascha Kotysch,41125,21,Germany,Centre-Back,CB,300000.0,Sint-Truidense VV,Belgium,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Moussa Ouattara,25908,28,Burkina Faso,Centre-Back,CB,250000.0,SC Fortuna Köln,Germany,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Erik Jendrisek,41369,23,Slovakia,Centre-Forward,CF,2500000.0,FC Schalke 04,Germany,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Mario Klinger,32760,23,Germany,Centre-Back,CB,200000.0,Rot-Weiß Oberhausen,Germany,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Dragan Paljic,8387,27,Germany,Left Midfield,LM,400000.0,Wisla Kraków,Poland,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Luis Robles,47289,26,United States,Goalkeeper,GK,400000.0,Karlsruher SC,Germany,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Manuel Hornig,12233,27,Germany,Centre-Back,CB,200000.0,TuS Koblenz,Germany,0.0,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Fabian Müller,31569,23,Germany,Left-Back,LB,250000.0,FC Erzgebirge Aue,Germany,,0
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Sidney Sam,39102,22,Germany,Right Winger,RW,3000000.0,Hamburger SV,Germany,0.0,1
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Markus Steinhöfer,16726,24,Germany,Right-Back,RB,1500000.0,Eintracht Frankfurt,Germany,0.0,1
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Rodnei,58453,24,Brazil,Centre-Back,CB,2500000.0,Hertha BSC,Germany,0.0,1
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Daniel Pavlovic,19671,22,Bosnia-Herzegovina,Centre-Back,CB,300000.0,FC Schaffhausen,Switzerland,0.0,1
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Georges Mandjeck,52112,21,Cameroon,Defensive Midfield,DM,2000000.0,VfB Stuttgart,Germany,0.0,1
2010,Bundesliga,1.FC Kaiserslautern,summer,out,Ivo Ilicevic,30308,23,Croatia,Left Winger,LW,1500000.0,VfL Bochum,Germany,0.0,1
2010,Bundesliga,1.FC Köln,summer,in,Alexandru Ioniță I,113865,20,Romania,Centre-Forward,CF,1500000.0,Rapid Bucharest ,Romania,2500000.0,0
2010,Bundesliga,1.FC Köln,summer,in,Martin Lanig,3942,25,Germany,Defensive Midfield,DM,2000000.0,VfB Stuttgart,Germany,700000.0,0
2010,Bundesliga,1.FC Köln,summer,in,Konstantinos Giannoulis,34289,22,Greece,Left-Back,LB,600000.0,Iraklis Thessaloniki,Greece,300000.0,0
