season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2023,Eredivisie,AZ Alkmaar,summer,in,Alexandre Penetra,479643,21,Portugal,Centre-Back,CB,4000000.0,FC Famalicão,Portugal,4200000.0,0
2023,Eredivisie,AZ Alkmaar,summer,in,Ibrahim Sadiq,543501,23,Ghana,Right Winger,RW,2000000.0,BK Häcken,Sweden,4000000.0,0
2023,Eredivisie,AZ Alkmaar,summer,in,David Møller Wolfe,661427,21,Norway,Left-Back,LB,2500000.0,SK Brann,Norway,3900000.0,0
2023,Eredivisie,AZ Alkmaar,summer,in,Denso Kasius,577394,20,Netherlands,Right-Back,RB,1700000.0,Bologna FC 1909,Italy,0.0,0
2023,Eredivisie,AZ Alkmaar,summer,in,Ruben van Bommel,735701,18,Netherlands,Left Winger,LW,550000.0,MVV Maastricht,Netherlands,,0
2023,Eredivisie,AZ Alkmaar,summer,in,Tiago Dantas,429987,22,Portugal,Central Midfield,CM,3000000.0,SL Benfica,Portugal,0.0,1
2023,Eredivisie,AZ Alkmaar,winter,in,Kristijan Belic,507223,22,Serbia,Defensive Midfield,DM,2500000.0,FK Partizan Belgrade,Serbia,4000000.0,0
2023,Eredivisie,AZ Alkmaar,winter,in,Lequincio Zeefuik,728864,19,Netherlands,Centre-Forward,CF,500000.0,FC Volendam,Netherlands,500000.0,0
2023,Eredivisie,AZ Alkmaar,winter,in,Gonçalo Esteves,726721,19,Portugal,Right-Back,RB,2000000.0,Sporting CP B,Portugal,0.0,1
2023,Eredivisie,AZ Alkmaar,summer,out,Tijjani Reijnders,460939,24,Netherlands,Central Midfield,CM,14000000.0,AC Milan,Italy,24800000.0,0
2023,Eredivisie,AZ Alkmaar,summer,out,Milos Kerkez,730861,19,Hungary,Left-Back,LB,15000000.0,AFC Bournemouth,England,20470000.0,0
2023,Eredivisie,AZ Alkmaar,summer,out,Jesper Karlsson,367992,25,Sweden,Left Winger,LW,18000000.0,Bologna FC 1909,Italy,11150000.0,0
2023,Eredivisie,AZ Alkmaar,summer,out,Sam Beukema,433984,24,Netherlands,Centre-Back,CB,4500000.0,Bologna FC 1909,Italy,10880000.0,0
2023,Eredivisie,AZ Alkmaar,summer,out,Pantelis Hatzidiakos,144244,26,Greece,Centre-Back,CB,4000000.0,Cagliari Calcio,Italy,2700000.0,0
2023,Eredivisie,AZ Alkmaar,summer,out,Yusuf Barası,566271,20,Türkiye,Centre-Forward,CF,600000.0,Adana Demirspor,Türkiye,300000.0,0
2023,Eredivisie,AZ Alkmaar,summer,out,Mees Bakker,436061,22,Netherlands,Goalkeeper,GK,100000.0,De Graafschap Doetinchem,Netherlands,0.0,0
2023,Eredivisie,AZ Alkmaar,summer,out,Jelle Duin,339327,24,Netherlands,Centre-Forward,CF,350000.0,Hapoel Jerusalem,Israel,,0
2023,Eredivisie,AZ Alkmaar,summer,out,Zico Buurmeester,595940,21,Netherlands,Central Midfield,CM,550000.0,PEC Zwolle,Netherlands,0.0,1
2023,Eredivisie,AZ Alkmaar,summer,out,Peer Koopmeiners,361074,23,Netherlands,Defensive Midfield,DM,700000.0,Almere City FC,Netherlands,0.0,1
2023,Eredivisie,AZ Alkmaar,summer,out,Peter Vindahl,395421,25,Denmark,Goalkeeper,GK,650000.0,AC Sparta Prague,Czech Republic,0.0,1
2023,Eredivisie,AZ Alkmaar,summer,out,Zinho Vanheusden,338672,23,Belgium,Centre-Back,CB,4500000.0,Inter Milan,Italy,0.0,1
2023,Eredivisie,AZ Alkmaar,winter,out,Djordje Mihailovic,484756,25,United States,Attacking Midfield,AM,3500000.0,Colorado Rapids,United States,2730000.0,0
2023,Eredivisie,AZ Alkmaar,winter,out,Jens Odgaard,345590,24,Denmark,Attacking Midfield,AM,4000000.0,Bologna FC 1909,Italy,225000.0,1
2023,Eredivisie,AZ Alkmaar,winter,out,Kenzo Goudmijn,412943,22,Netherlands,Central Midfield,CM,1300000.0,Excelsior Rotterdam,Netherlands,0.0,1
