season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2025,Eredivisie,AZ Alkmaar,summer,in,Weslley Patati,959106,21,Brazil,Right Winger,RW,2500000.0,Maccabi Tel Aviv,Israel,7300000.0,0
2025,Eredivisie,AZ Alkmaar,summer,in,Isak Jensen,801886,21,Denmark,Left Winger,LW,2700000.0,Viborg FF,Denmark,4000000.0,0
2025,Eredivisie,AZ Alkmaar,summer,in,Matej Sin,724025,21,Czech Republic,Attacking Midfield,AM,4500000.0,FC Banik Ostrava,Czech Republic,4000000.0,0
2025,Eredivisie,AZ Alkmaar,summer,in,Mateo Chávez,1066953,21,Mexico,Left-Back,LB,3000000.0,Deportivo Guadalajara,Mexico,2000000.0,0
2025,Eredivisie,AZ Alkmaar,summer,out,Ruben van Bommel,735701,20,Netherlands,Left Winger,LW,8000000.0,PSV Eindhoven,Netherlands,15800000.0,0
2025,Eredivisie,AZ Alkmaar,summer,out,Jayden Addai,747720,19,Netherlands,Right Winger,RW,1500000.0,Como 1907,Italy,14000000.0,0
2025,Eredivisie,AZ Alkmaar,summer,out,David Møller Wolfe,661427,23,Norway,Left-Back,LB,9000000.0,Wolverhampton Wanderers,England,12000000.0,0
2025,Eredivisie,AZ Alkmaar,summer,out,Ernest Poku,718303,21,Netherlands,Right Winger,RW,4000000.0,Bayer 04 Leverkusen,Germany,10000000.0,0
2025,Eredivisie,AZ Alkmaar,summer,out,Bruno Martins Indi,112052,33,Netherlands,Centre-Back,CB,650000.0,Sparta Rotterdam,Netherlands,0.0,0
2025,Eredivisie,AZ Alkmaar,summer,out,Myron van Brederode,650712,22,Netherlands,Left Winger,LW,3000000.0,KV Mechelen,Belgium,,0
2025,Eredivisie,AZ Alkmaar,summer,out,Lewis Schouten,801031,21,Netherlands,Centre-Back,CB,400000.0,Excelsior Rotterdam,Netherlands,0.0,1
2025,Eredivisie,AZ Alkmaar,summer,out,Sem Westerveld,595935,22,Netherlands,Goalkeeper,GK,200000.0,MVV Maastricht,Netherlands,0.0,1
2025,Eredivisie,AZ Alkmaar,summer,out,Kristijan Belic,507223,24,Serbia,Defensive Midfield,DM,3500000.0,Maccabi Tel Aviv,Israel,0.0,1
2025,Eredivisie,AZ Alkmaar,summer,out,Mayckel Lahdo,795274,22,Sweden,Right Winger,RW,3000000.0,FC Nantes,France,0.0,1
2025,Eredivisie,AZ Alkmaar,summer,out,Zico Buurmeester,595940,23,Netherlands,Central Midfield,CM,3500000.0,PEC Zwolle,Netherlands,0.0,1
2025,Eredivisie,Ajax Amsterdam,summer,in,Oscar Gloukh,930571,21,Israel,Attacking Midfield,AM,20000000.0,Red Bull Salzburg,Austria,14750000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,in,Raúl Moro,624942,22,Spain,Left Winger,LW,7500000.0,Real Valladolid CF,Spain,11000000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,in,Ko Itakura,355816,28,Japan,Centre-Back,CB,12000000.0,Borussia Mönchengladbach,Germany,10500000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,in,Kasper Dolberg,283196,27,Denmark,Centre-Forward,CF,13000000.0,RSC Anderlecht,Belgium,10000000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,in,Joeri Heerkens,923667,19,Netherlands,Goalkeeper,GK,350000.0,AC Sparta Prague,Czech Republic,2000000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,in,James McConnell,845289,20,England,Central Midfield,CM,2000000.0,Liverpool FC U21,England,1500000.0,1
2025,Eredivisie,Ajax Amsterdam,summer,in,Vitezslav Jaros,486604,23,Czech Republic,Goalkeeper,GK,4000000.0,Liverpool FC,England,0.0,1
2025,Eredivisie,Ajax Amsterdam,summer,out,Jorrel Hato,904802,19,Netherlands,Left-Back,LB,35000000.0,Chelsea FC,England,44180000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Brian Brobbey,473169,23,Netherlands,Centre-Forward,CF,22000000.0,Sunderland AFC,England,20000000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Carlos Forbs,742451,21,Portugal,Left Winger,LW,8000000.0,Club Brugge KV,Belgium,6000000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Bertrand Traoré,131996,29,Burkina Faso,Right Winger,RW,8000000.0,Sunderland AFC,England,2900000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Borna Sosa,293194,27,Croatia,Left-Back,LB,4500000.0,Crystal Palace,England,2300000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Jakov Medic,488755,26,Croatia,Centre-Back,CB,2000000.0,Norwich City,England,2000000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Kristian Hlynsson,694186,21,Iceland,Attacking Midfield,AM,4000000.0,Twente Enschede FC,Netherlands,1800000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Christian Rasmussen,610429,22,Denmark,Right Winger,RW,1500000.0,Fortuna Düsseldorf,Germany,1000000.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Jay Gorter,480453,25,Netherlands,Goalkeeper,GK,900000.0,Pafos FC,Cyprus,0.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Jordan Henderson,61651,35,England,Defensive Midfield,DM,2500000.0,Brentford FC,England,0.0,0
2025,Eredivisie,Ajax Amsterdam,summer,out,Chuba Akpom,197642,29,England,Centre-Forward,CF,7000000.0,Ipswich Town,England,0.0,1
2025,Eredivisie,Ajax Amsterdam,summer,out,Sivert Mannsverk,510310,23,Norway,Defensive Midfield,DM,4000000.0,AC Sparta Prague,Czech Republic,0.0,1
2025,Eredivisie,Ajax Amsterdam,summer,out,Amourricho Van Axel-Dongen,704773,20,Netherlands,Left Winger,LW,400000.0,SC Heerenveen,Netherlands,0.0,1
2025,Eredivisie,Ajax Amsterdam,summer,out,Ahmetcan Kaplan,662131,22,Türkiye,Centre-Back,CB,5000000.0,NEC Nijmegen,Netherlands,0.0,1
2025,Eredivisie,Ajax Amsterdam,summer,out,Matheus,177547,33,Brazil,Goalkeeper,GK,2500000.0,SC Braga,Portugal,0.0,1
2025,Eredivisie,Ajax Amsterdam,summer,out,Daniele Rugani,162959,30,Italy,Centre-Back,CB,3000000.0,Juventus FC,Italy,0.0,1
2025,Eredivisie,Excelsior Rotterdam,summer,in,Stan Henderikx,675981,22,Netherlands,Centre-Back,CB,500000.0,FC Den Bosch,Netherlands,500000.0,0
2025,Eredivisie,Excelsior Rotterdam,summer,in,Irakli Yegoian,806245,21,Georgia,Central Midfield,CM,500000.0,Vitesse Arnhem,Netherlands,0.0,0
2025,Eredivisie,Excelsior Rotterdam,summer,in,Gyan de Regt,747243,21,Netherlands,Left Winger,LW,350000.0,Vitesse Arnhem,Netherlands,0.0,0
2025,Eredivisie,Excelsior Rotterdam,summer,in,Simon Janssen,457092,24,Netherlands,Left-Back,LB,450000.0,VVV-Venlo,Netherlands,0.0,0
2025,Eredivisie,Excelsior Rotterdam,summer,in,Adam Carlén,675844,25,Sweden,Defensive Midfield,DM,700000.0,IFK Göteborg,Sweden,,0
2025,Eredivisie,Excelsior Rotterdam,summer,in,Rick Meissen,596178,23,Netherlands,Centre-Back,CB,500000.0,Sparta Rotterdam,Netherlands,,0
2025,Eredivisie,Excelsior Rotterdam,summer,in,Stijn van Gassel,301696,28,Netherlands,Goalkeeper,GK,450000.0,NEC Nijmegen,Netherlands,,0
2025,Eredivisie,Excelsior Rotterdam,summer,in,Mathijs Tielemans,608889,23,Netherlands,Central Midfield,CM,600000.0,Vitesse Arnhem,Netherlands,,0
2025,Eredivisie,Excelsior Rotterdam,summer,in,Lewis Schouten,801031,21,Netherlands,Centre-Back,CB,400000.0,AZ Alkmaar,Netherlands,0.0,1
2025,Eredivisie,Excelsior Rotterdam,summer,in,Do-young Yoon,1015959,18,"Korea, South",Right Winger,RW,800000.0,Brighton & Hove Albion,England,0.0,1
2025,Eredivisie,Excelsior Rotterdam,summer,in,Szymon Wlodarczyk,554282,22,Poland,Centre-Forward,CF,1600000.0,SK Sturm Graz,Austria,0.0,1
2025,Eredivisie,Excelsior Rotterdam,summer,in,Chris-Kévin Nadje,1057565,24,Cote d'Ivoire,Attacking Midfield,AM,1200000.0,Feyenoord Rotterdam,Netherlands,0.0,1
