season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2022,Eredivisie,AZ Alkmaar,summer,in,Jens Odgaard,345590,23,Denmark,Attacking Midfield,AM,2000000.0,US Sassuolo,Italy,3590000.0,0
2022,Eredivisie,AZ Alkmaar,summer,in,Mees de Wit,315254,24,Netherlands,Left-Back,LB,1500000.0,PEC Zwolle,Netherlands,2300000.0,0
2022,Eredivisie,AZ Alkmaar,summer,in,Mayckel Lahdo,795274,19,Sweden,Right Winger,RW,1000000.0,Hammarby IF,Sweden,600000.0,0
2022,Eredivisie,AZ Alkmaar,summer,in,Riechedly Bazoer,216443,25,Curacao,Centre-Back,CB,5000000.0,Vitesse Arnhem,Netherlands,0.0,0
2022,Eredivisie,AZ Alkmaar,summer,in,Zinho Vanheusden,338672,22,Belgium,Centre-Back,CB,8000000.0,Inter Milan,Italy,0.0,1
2022,Eredivisie,AZ Alkmaar,winter,in,Djordje Mihailovic,484756,24,United States,Attacking Midfield,AM,6000000.0,CF Montréal,United States,3000000.0,0
2022,Eredivisie,AZ Alkmaar,winter,in,Sven Mijnans,578804,22,Netherlands,Attacking Midfield,AM,1000000.0,Sparta Rotterdam,Netherlands,2500000.0,0
2022,Eredivisie,AZ Alkmaar,winter,in,Mathew Ryan,128969,30,Australia,Goalkeeper,GK,5000000.0,FC Copenhagen,Denmark,500000.0,0
2022,Eredivisie,AZ Alkmaar,summer,out,Owen Wijndal,339328,22,Netherlands,Left-Back,LB,12000000.0,Ajax Amsterdam,Netherlands,10000000.0,0
2022,Eredivisie,AZ Alkmaar,summer,out,Fredrik Midtsjø,136180,28,Norway,Central Midfield,CM,6000000.0,Galatasaray,Türkiye,3500000.0,0
2022,Eredivisie,AZ Alkmaar,summer,out,Thomas Ouwejan,241477,25,Netherlands,Left-Back,LB,2500000.0,FC Schalke 04,Germany,2000000.0,0
2022,Eredivisie,AZ Alkmaar,summer,out,Zakaria Aboukhlal,393238,22,Morocco,Right Winger,RW,2000000.0,FC Toulouse,France,2000000.0,0
