season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2002,Eredivisie,AZ Alkmaar,summer,in,Martijn Meerdink,4551,25,Netherlands,Right Winger,RW,,De Graafschap Doetinchem,Netherlands,950000.0,0
2002,Eredivisie,AZ Alkmaar,summer,in,Juha Reini,4543,27,Finland,Centre-Back,CB,,KRC Genk,Belgium,0.0,0
2002,Eredivisie,AZ Alkmaar,summer,in,Tim de Cler,13406,23,Netherlands,Left-Back,LB,,Ajax Amsterdam,Netherlands,0.0,0
2002,Eredivisie,AZ Alkmaar,summer,in,Joost Volmer,4545,28,Netherlands,Centre-Back,CB,,Fortuna Sittard,Netherlands,,0
2002,Eredivisie,AZ Alkmaar,winter,in,Kris Mampaey,4690,32,Belgium,Goalkeeper,GK,,FC Den Bosch,Netherlands,0.0,1
2002,Eredivisie,AZ Alkmaar,winter,in,Michael Lamey,4344,23,Netherlands,Right-Back,RB,,PSV Eindhoven,Netherlands,0.0,1
2002,Eredivisie,AZ Alkmaar,summer,out,Patrick Huisman,7948,22,Netherlands,Defender,Defender,,FC Volendam,Netherlands,0.0,0
2002,Eredivisie,AZ Alkmaar,summer,out,Peter van den Berg,4488,30,Netherlands,Centre-Back,CB,,RKC Waalwijk,Netherlands,0.0,0
2002,Eredivisie,AZ Alkmaar,summer,out,John Bosman,22449,37,Netherlands,Centre-Forward,CF,,AFC Amsterdam,Netherlands,0.0,0
2002,Eredivisie,AZ Alkmaar,summer,out,Dries Boussatta,15162,29,Morocco,Right Winger,RW,,SBV Excelsior,Netherlands,,0
2002,Eredivisie,AZ Alkmaar,summer,out,Jeroen Ketting,18005,21,Netherlands,Centre-Forward,CF,,HFC Haarlem,Netherlands,,0
2002,Eredivisie,AZ Alkmaar,summer,out,Ervin Lee,147879,28,Netherlands,Right-Back,RB,,Stormvogels Telstar,Netherlands,,0
2002,Eredivisie,AZ Alkmaar,summer,out,Henk Timmer,4537,30,Netherlands,Goalkeeper,GK,,Ajax Amsterdam,Netherlands,0.0,1
2002,Eredivisie,AZ Alkmaar,summer,out,Jamal Dibi,6408,22,Netherlands,Attacking Midfield,AM,,Go Ahead Eagles,Netherlands,0.0,1
2002,Eredivisie,AZ Alkmaar,summer,out,Hans van der Woude,6409,22,Netherlands,Attacking Midfield,AM,,FC Dordrecht,Netherlands,0.0,1
2002,Eredivisie,AZ Alkmaar,summer,out,Max Huiberts,4555,31,Netherlands,Left Winger,LW,,Retired,,,0
2002,Eredivisie,AZ Alkmaar,summer,out,Arnold Nijkamp,186224,29,Netherlands,Goalkeeper,GK,,Retired,,,0
2002,Eredivisie,AZ Alkmaar,winter,out,Ole Tobiasen,4544,27,Denmark,Centre-Back,CB,,FC Copenhagen,Denmark,150000.0,0
2002,Eredivisie,AZ Alkmaar,winter,out,Abdelkrim El Hadrioui,4541,30,Morocco,Left-Back,LB,,Royal Charleroi SC,Belgium,,0
2002,Eredivisie,Ajax Amsterdam,summer,in,Victor Sikora,4333,24,Netherlands,Right Winger,RW,,Vitesse Arnhem,Netherlands,4350000.0,0
2002,Eredivisie,Ajax Amsterdam,summer,in,Nourdin Boukhari,4327,22,Morocco,Attacking Midfield,AM,,Sparta Rotterdam,Netherlands,680000.0,0
2002,Eredivisie,Ajax Amsterdam,summer,in,Jari Litmanen,4675,31,Finland,Attacking Midfield,AM,,Liverpool FC,England,0.0,0
2002,Eredivisie,Ajax Amsterdam,summer,in,Henk Timmer,4537,30,Netherlands,Goalkeeper,GK,,AZ Alkmaar,Netherlands,0.0,1
2002,Eredivisie,Ajax Amsterdam,summer,out,Chris Kanu,13392,22,Nigeria,Right-Back,RB,,TOP Oss,Netherlands,0.0,0
2002,Eredivisie,Ajax Amsterdam,summer,out,Brutil Hosé,75336,22,Curacao,Centre-Forward,CF,,Sparta Rotterdam,Netherlands,0.0,0
2002,Eredivisie,Ajax Amsterdam,summer,out,Tim de Cler,13406,23,Netherlands,Left-Back,LB,,AZ Alkmaar,Netherlands,0.0,0
2002,Eredivisie,Ajax Amsterdam,summer,out,Jan van Halst,4320,33,Netherlands,Defensive Midfield,DM,,Vitesse Arnhem,Netherlands,0.0,0
2002,Eredivisie,Ajax Amsterdam,summer,out,Anthony Obodai,5016,19,Ghana,Defensive Midfield,DM,,Germinal Beerschot Antwerpen,Belgium,0.0,1
2002,Eredivisie,Ajax Amsterdam,summer,out,Pius Ikedia,4647,22,Nigeria,Right Winger,RW,,FC Groningen,Netherlands,0.0,1
2002,Eredivisie,Ajax Amsterdam,summer,out,Jason Culina,19051,21,Australia,Central Midfield,CM,,De Graafschap Doetinchem,Netherlands,0.0,1
2002,Eredivisie,Ajax Amsterdam,summer,out,Cedric van der Gun,4676,23,Netherlands,Centre-Forward,CF,,Willem II Tilburg,Netherlands,0.0,1
2002,Eredivisie,Ajax Amsterdam,summer,out,Richard Knopper,6230,24,Netherlands,Attacking Midfield,AM,,Aris Thessaloniki,Greece,0.0,1
2002,Eredivisie,Ajax Amsterdam,summer,out,Ruud Kras,6231,20,Netherlands,Centre-Back,CB,,FC Zwolle,Netherlands,0.0,1
2002,Eredivisie,Ajax Amsterdam,summer,out,Youssouf Hersi,4154,19,Netherlands,Right Winger,RW,,NEC Nijmegen,Netherlands,0.0,1
2002,Eredivisie,Ajax Amsterdam,summer,out,Kwame Quansah,7326,19,Ghana,Defensive Midfield,DM,,Germinal Beerschot Antwerpen,Belgium,0.0,1
2002,Eredivisie,Ajax Amsterdam,summer,out,Fred Grim,147727,36,Netherlands,Goalkeeper,GK,,Retired,,,0
2002,Eredivisie,Ajax Amsterdam,summer,out,Ferdi Vierklau,147756,29,Netherlands,Right-Back,RB,,Retired,,,0
2002,Eredivisie,Ajax Amsterdam,winter,out,Nikolaos Machlas,3853,29,Greece,Centre-Forward,CF,,Sevilla FC,Spain,400000.0,1
2002,Eredivisie,Ajax Amsterdam,winter,out,Mido,4329,19,Egypt,Centre-Forward,CF,,Celta de Vigo,Spain,0.0,1
2002,Eredivisie,Ajax Amsterdam,winter,out,Daniel Cruz,13047,21,Colombia,Attacking Midfield,AM,,Germinal Beerschot Antwerpen,Belgium,0.0,1
2002,Eredivisie,Ajax Amsterdam,winter,out,Tijani Babangida,4831,29,Nigeria,Right Winger,RW,,Al-Ittihad Club,Saudi Arabia,0.0,1
2002,Eredivisie,Ajax Amsterdam,winter,out,Aron Winter,4324,35,Netherlands,Central Midfield,CM,,Retired,,,0
