season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
1995,Super Lig,Altay SK,summer,in,Serkan Gültang,577982,21,Türkiye,Centre-Forward,CF,,Adana Demirspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,in,Kemal Orgen,785046,18,Türkiye,Striker,Striker,,Yesilovaspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,in,Murat Deniz,654355,18,Türkiye,Centre-Forward,CF,,Gaziantepspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,in,Fatih Sezer,58846,18,Türkiye,Defensive Midfield,DM,,Samsunspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,in,Serkan Karababa,115194,19,Türkiye,Centre-Back,CB,,Yeni Bornovaspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,in,Hakan Demir,7399,19,Türkiye,Right Midfield,RM,,Altinordu FK,Türkiye,,0
1995,Super Lig,Altay SK,summer,in,Ünsal Aka,8038,20,Türkiye,Centre-Back,CB,,Adanaspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,in,Faruk Korkmaz,92131,25,Türkiye,Centre-Forward,CF,,Samsunspor,Türkiye,0.0,1
1995,Super Lig,Altay SK,winter,in,Vladko Shalamanov,490011,28,Bulgaria,Central Midfield,CM,,Slavia Sofia,Bulgaria,150000.0,0
1995,Super Lig,Altay SK,summer,out,Ilia Gruev,1048,25,Bulgaria,Central Midfield,CM,,Montana,Bulgaria,0.0,0
1995,Super Lig,Altay SK,summer,out,Serol Ereni,730908,22,Türkiye,Striker,Striker,,Kartalspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,out,Serkan Şentürk,673657,18,Türkiye,Striker,Striker,,Yeni Bornovaspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,out,Aytekin Sümbül,634827,23,Türkiye,Defender,Defender,,Aydinspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,out,Yasin Balcı,607483,20,Türkiye,Midfielder,Midfielder,,Edirnespor,Türkiye,,0
1995,Super Lig,Altay SK,summer,out,Şeyhmus Suna,358930,30,Türkiye,Right-Back,RB,,Diyarbakirspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,out,Fatih Sezer,58846,18,Türkiye,Defensive Midfield,DM,,Samsunspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,out,Ali Mehmedi,573799,29,Albania,Centre-Back,CB,,Unknown,,,0
1995,Super Lig,Altay SK,summer,out,Atakan Sancarbarlas,206232,21,Türkiye,Right Midfield,RM,,Istanbulspor,Türkiye,,0
1995,Super Lig,Altay SK,summer,out,Hayati Şen,583085,25,Türkiye,Right-Back,RB,,DC Karabükspor,Türkiye,0.0,1
1995,Super Lig,Altay SK,summer,out,Ahmet Acar,29624,20,Türkiye,Defender,Defender,,Zeytinburnuspor,Türkiye,0.0,1
1995,Super Lig,Altay SK,summer,out,Faruk Korkmaz,92131,25,Türkiye,Centre-Forward,CF,,Samsunspor,Türkiye,0.0,1
1995,Super Lig,Antalyaspor,summer,in,İbrahim Sırcan,961845,23,Türkiye,Striker,Striker,,Antalya Köy Hizmetleri Spor,Türkiye,0.0,0
1995,Super Lig,Antalyaspor,summer,in,Osman Akyol,92125,26,Türkiye,Midfielder,Midfielder,,Galatasaray,Türkiye,0.0,1
1995,Super Lig,Antalyaspor,summer,in,Abdallah Melhi,1179248,27,Morocco,Striker,Striker,,Paris FC,France,,0
1995,Super Lig,Antalyaspor,summer,in,Rauf Kolancı,690121,26,Türkiye,Midfielder,Midfielder,,Alanyaspor,Türkiye,,0
1995,Super Lig,Antalyaspor,summer,in,Köksal Kır,662916,26,Türkiye,Defender,Defender,,Kartalspor,Türkiye,,0
1995,Super Lig,Antalyaspor,summer,in,Burhan Saatçioğlu,7209,22,Türkiye,Sweeper,SW,,Fenerbahce,Türkiye,,0
1995,Super Lig,Antalyaspor,summer,in,Nuri Kamburoğlu,25477,28,Türkiye,Centre-Back,CB,,Fenerbahce,Türkiye,,0
1995,Super Lig,Antalyaspor,summer,in,İhsan Okay,557055,25,Türkiye,Left Midfield,LM,,Gaziantepspor,Türkiye,,0
1995,Super Lig,Antalyaspor,summer,in,Fani Madida,92279,28,South Africa,Centre-Forward,CF,,Besiktas JK,Türkiye,,0
1995,Super Lig,Antalyaspor,summer,in,Thompson Oliha,102318,26,Nigeria,Defensive Midfield,DM,,Maccabi Ironi Ashdod,Israel,,0
1995,Super Lig,Antalyaspor,summer,in,Engin Şentürk,324033,21,Türkiye,Left Midfield,LM,,Bursaspor,Türkiye,0.0,1
