season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2004,Super Lig,Akcaabat Sebatspor,summer,in,Vlademir,6235,24,Brazil,Attacking Midfield,AM,,1.FC Nuremberg,Germany,0.0,0
2004,Super Lig,Akcaabat Sebatspor,summer,in,Petar Milosevski,6959,30,North Macedonia,Goalkeeper,GK,,Malatyaspor,Türkiye,0.0,0
2004,Super Lig,Akcaabat Sebatspor,summer,in,Hakan Bayraktar,7088,27,Türkiye,Defensive Midfield,DM,,Gaziantepspor,Türkiye,0.0,0
2004,Super Lig,Akcaabat Sebatspor,summer,in,Claude Bakadal,10553,28,Ghana,Centre-Forward,CF,,Diyarbakirspor,Türkiye,0.0,0
2004,Super Lig,Akcaabat Sebatspor,summer,in,Sefer Hakan Olgun,16706,29,Türkiye,Goalkeeper,GK,,Kocaelispor,Türkiye,,0
2004,Super Lig,Akcaabat Sebatspor,summer,in,İsmet Taşdemir,7086,30,Türkiye,Defensive Midfield,DM,,MKE Ankaragücü,Türkiye,,0
2004,Super Lig,Akcaabat Sebatspor,summer,in,Ogün Temizkanoğlu,6932,34,Türkiye,Centre-Back,CB,,Konyaspor,Türkiye,,0
2004,Super Lig,Akcaabat Sebatspor,summer,in,Mesut Kumcuoğlu,25457,24,Türkiye,Centre-Forward,CF,,Yalovaspor,Türkiye,,0
2004,Super Lig,Akcaabat Sebatspor,winter,in,Yusuf Şimşek,7034,29,Türkiye,Attacking Midfield,AM,2500000.0,Fenerbahce,Türkiye,0.0,0
2004,Super Lig,Akcaabat Sebatspor,winter,in,Ali Eren Beşerler,10197,29,Türkiye,Right-Back,RB,1000000.0,Kocaelispor,Türkiye,0.0,0
2004,Super Lig,Akcaabat Sebatspor,winter,in,Serdal Boyraz,7062,29,Türkiye,Defensive Midfield,DM,1000000.0,Denizlispor,Türkiye,0.0,1
2004,Super Lig,Akcaabat Sebatspor,winter,in,Ali Kandil,6870,22,Türkiye,Left Winger,LW,800000.0,Trabzonspor,Türkiye,0.0,1
