season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2002,Super Lig,Adanaspor,summer,in,Güngör Öztürk,6944,24,Türkiye,Centre-Back,CB,,Trabzonspor,Türkiye,0.0,0
2002,Super Lig,Adanaspor,summer,in,Gökmen Yıldıran,6950,23,Türkiye,Centre-Forward,CF,,Altay SK,Türkiye,0.0,0
2002,Super Lig,Adanaspor,summer,in,Sead Halilagic,7104,30,Bosnia-Herzegovina,Centre-Back,CB,,Slavia Sofia,Bulgaria,0.0,0
2002,Super Lig,Adanaspor,summer,in,Rosen Emilov,6947,24,Bulgaria,Right Midfield,RM,,Olympic Teteven,Bulgaria,,0
2002,Super Lig,Adanaspor,summer,in,Umut Korkut,657257,23,Türkiye,Central Midfield,CM,,Gaziosmanpasa,Türkiye,,0
2002,Super Lig,Adanaspor,summer,in,Alpaslan Kartal,18545,25,Türkiye,Left-Back,LB,,Diyarbakirspor,Türkiye,,0
2002,Super Lig,Adanaspor,summer,in,Murat Bölükbaş,17449,21,Türkiye,Centre-Forward,CF,,Akcaabat Sebatspor,Türkiye,,0
2002,Super Lig,Adanaspor,summer,in,Ümit Aydın,6916,22,Türkiye,Defensive Midfield,DM,,Altay SK,Türkiye,,0
2002,Super Lig,Adanaspor,summer,in,Ali Yilmaz,126543,23,Türkiye,Right Midfield,RM,,Diyarbakirspor,Türkiye,,0
2002,Super Lig,Adanaspor,summer,in,Ohene Kennedy,170691,29,Ghana,Centre-Forward,CF,,MKE Ankaragücü,Türkiye,,0
2002,Super Lig,Adanaspor,summer,in,Pachola,112989,26,Brazil,Attacking Midfield,AM,,Santa Cruz FC (PE),Brazil,,0
2002,Super Lig,Adanaspor,summer,in,Milan Timko,92016,29,Slovakia,Centre-Back,CB,,Kocaelispor,Türkiye,,0
2002,Super Lig,Adanaspor,summer,in,İlker Dalçiçek,6943,25,Türkiye,Central Midfield,CM,,Yimpas Yozgatspor,Türkiye,,0
2002,Super Lig,Adanaspor,winter,in,Gürhan Gürsoy,6953,15,Türkiye,Left Midfield,LM,,IFK Norrköping,Sweden,0.0,0
2002,Super Lig,Adanaspor,winter,in,Marian Lalik,6951,30,Slovakia,Right Midfield,RM,,Panionios Athens,Greece,0.0,0
2002,Super Lig,Adanaspor,winter,in,Cafer Aydın,6954,31,Türkiye,Centre-Forward,CF,,Genclerbirligi Ankara,Türkiye,,0
2002,Super Lig,Adanaspor,winter,in,Volkan Bekiroğlu,6955,25,Türkiye,Left-Back,LB,,Gaziantepspor,Türkiye,,0
2002,Super Lig,Adanaspor,winter,in,Serkan Bekiroğlu,6957,24,Türkiye,Centre-Back,CB,,Kocaelispor,Türkiye,,0
