season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
1995,Ligue 1,AJ Auxerre,summer,in,Laurent Blanc,3113,29,France,Centre-Back,CB,,AS Saint-Étienne,France,,0
1995,Ligue 1,AJ Auxerre,summer,in,Awudu Issaka,575,16,Ghana,Attacking Midfield,AM,,RSC Anderlecht U19,Belgium,,0
1995,Ligue 1,AJ Auxerre,summer,in,Stéphane Guivarc'h,102753,24,France,Centre-Forward,CF,,EA Guingamp,France,,0
1995,Ligue 1,AJ Auxerre,summer,in,Abdelhafid Tasfaout,155601,26,Algeria,Attacking Midfield,AM,,MC Oran,Algeria,,0
1995,Ligue 1,AJ Auxerre,summer,out,Frank Verlaat,541,27,Netherlands,Centre-Back,CB,,VfB Stuttgart,Germany,2000000.0,0
1995,Ligue 1,AJ Auxerre,summer,out,Bruno Martini,101116,33,France,Goalkeeper,GK,,Montpellier HSC,France,,0
1995,Ligue 1,AJ Auxerre,summer,out,Pascal Vahirua,101120,29,France,Left Winger,LW,,SM Caen,France,,0
1995,Ligue 1,AJ Auxerre,summer,out,Gérald Baticle,138312,25,France,Centre-Forward,CF,,RC Strasbourg Alsace,France,,0
1995,Ligue 1,AJ Auxerre,summer,out,Raphaël Guerreiro,167997,27,France,Central Midfield,CM,,SM Caen,France,,0
1995,Ligue 1,AJ Auxerre,summer,out,Stéphane Mahé,170436,26,France,Left-Back,LB,,Paris Saint-Germain,France,,0
1995,Ligue 1,AJ Auxerre,summer,out,Franck Soler,408419,24,France,Striker,Striker,,FC Martigues,France,,0
1995,Ligue 1,AJ Auxerre,summer,out,Thomas Deniaud,149270,24,France,Centre-Forward,CF,,Angers SCO,France,0.0,1
1995,Ligue 1,AJ Auxerre,summer,out,Bruno Laire,1230387,23,France,Defender,Defender,,Unknown,,,0
1995,Ligue 1,AJ Auxerre,winter,out,Laurent Ciechelski,138302,24,France,Right-Back,RB,,FC Gueugnon,France,0.0,1
1995,Ligue 1,AS Cannes,summer,in,Fabrice Rodriguez,523709,25,France,Centre-Forward,CF,,AS Muret,France,0.0,0
1995,Ligue 1,AS Cannes,summer,in,Sasa Person,175967,30,Croatia,Centre-Back,CB,,HNK Hajduk Split,Croatia,,0
1995,Ligue 1,AS Cannes,summer,in,Jean-Jacques Etamé,173638,28,Cameroon,Midfielder,Midfielder,,SM Caen,France,,0
1995,Ligue 1,AS Cannes,summer,in,Emmanuel Hutteau,160041,26,France,Left-Back,LB,,CS Sedan-Ardennes,France,,0
1995,Ligue 1,AS Cannes,summer,out,Christian Potel,45068,21,France,Goalkeeper,GK,,FC Sète 34,France,0.0,0
1995,Ligue 1,AS Cannes,summer,out,Philippe Raschke,5395,27,France,Right-Back,RB,,RC Strasbourg Alsace,France,,0
1995,Ligue 1,AS Cannes,summer,out,Alexandre Bès,409347,28,France,Defender,Defender,,FC Grand Rouen,France,,0
1995,Ligue 1,AS Cannes,summer,out,Fabrice Monacchino,409361,23,France,Striker,Striker,,Paris FC,France,,0
1995,Ligue 1,AS Cannes,summer,out,Alain Ravera,410182,30,France,Defender,Defender,,FC Mulhouse Sud-Alsace,France,,0
1995,Ligue 1,AS Cannes,summer,out,Patrice Sauvaget,288368,29,France,Centre-Forward,CF,,USL Dunkerque,France,,0
1995,Ligue 1,AS Cannes,summer,out,Jean-Noël Cabezas,168033,28,France,Centre-Forward,CF,,Sporting Club de Toulon 83,France,,0
1995,Ligue 1,AS Cannes,summer,out,Franck Durix,160102,29,France,Right Midfield,RM,,Nagoya Grampus,Japan,,0
1995,Ligue 1,AS Cannes,summer,out,Ardian Kozniku,133840,27,Croatia,Centre-Forward,CF,,Le Havre AC,France,,0
1995,Ligue 1,AS Cannes,summer,out,Lukasz Antczak,36425,19,Poland,Defender,Defender,,Górnik Wojkowice,Poland,,0
1995,Ligue 1,AS Cannes,summer,out,Ludovic Pollet,4281,25,France,Centre-Back,CB,,Le Havre AC,France,,0
1995,Ligue 1,AS Cannes,summer,out,David Bettoni,151366,23,France,Midfielder,Midfielder,,Olympique d'Alès en Cévennes,France,0.0,1
1995,Ligue 1,AS Cannes,summer,out,Christophe Delmotte,5350,26,France,Left-Back,LB,,RC Lens,France,0.0,1
1995,Ligue 1,AS Cannes,winter,out,Patrick Vieira,3183,19,France,Defensive Midfield,DM,,AC Milan,Italy,3600000.0,0
1995,Ligue 1,AS Monaco,summer,in,Basile Boli,101109,28,France,Centre-Back,CB,,Rangers FC,Scotland,2600000.0,0
1995,Ligue 1,AS Monaco,summer,in,Ali Benarbia,3300,26,Algeria,Attacking Midfield,AM,,FC Martigues,France,0.0,0
