season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
1998,Premier League,Arsenal FC,summer,in,Freddie Ljungberg,3134,21,Sweden,Right Midfield,RM,,Halmstads BK,Sweden,4500000.0,0
1998,Premier League,Arsenal FC,summer,in,Nelson Vivas,30936,28,Argentina,Right-Back,RB,,FC Lugano,Switzerland,2200000.0,0
1998,Premier League,Arsenal FC,summer,in,David Grondin,12626,18,France,Left-Back,LB,,AS Saint-Étienne,France,,0
1998,Premier League,Arsenal FC,summer,in,Fabián Caballero,12808,20,Paraguay,Centre-Forward,CF,,Club Cerro Porteño,Paraguay,0.0,1
1998,Premier League,Arsenal FC,winter,in,Nwankwo Kanu,3133,22,Nigeria,Centre-Forward,CF,,Inter Milan,Italy,6250000.0,0
1998,Premier League,Arsenal FC,winter,in,Kaba Diawara,5571,23,Guinea,Centre-Forward,CF,,FC Girondins Bordeaux,France,3000000.0,0
1998,Premier League,Arsenal FC,summer,out,Kaba Diawara,5571,23,Guinea,Centre-Forward,CF,,Olympique Marseille,France,3500000.0,0
1998,Premier League,Arsenal FC,summer,out,Ian Wright,104637,34,England,Centre-Forward,CF,,West Ham United,England,750000.0,0
1998,Premier League,Arsenal FC,summer,out,Scott Marshall,106912,25,Scotland,Centre-Back,CB,,Southampton FC,England,0.0,0
1998,Premier League,Arsenal FC,summer,out,Gavin McGowan,106913,22,England,Left-Back,LB,,Luton Town,England,0.0,0
1998,Premier League,Arsenal FC,summer,out,Chris Kiwomya,173696,28,England,Centre-Forward,CF,,Queens Park Rangers,England,0.0,0
1998,Premier League,Arsenal FC,summer,out,Paolo Vernazza,14080,18,England,Central Midfield,CM,,Ipswich Town,England,0.0,1
1998,Premier League,Arsenal FC,summer,out,Vince Bartram,13778,29,England,Goalkeeper,GK,,Gillingham FC,England,,0
1998,Premier League,Arsenal FC,summer,out,David Platt,101318,32,England,Attacking Midfield,AM,,Career break,,,0
1998,Premier League,Arsenal FC,winter,out,Jason Crowe,6096,20,England,Right-Back,RB,,Crystal Palace,England,0.0,1
1998,Premier League,Arsenal FC,winter,out,Alberto Méndez,477,24,Germany,Attacking Midfield,AM,,AEK Athens,Greece,0.0,1
1998,Premier League,Arsenal FC,winter,out,Ömer Riza,10150,19,England,Second Striker,SS,,ADO Den Haag,Netherlands,0.0,1
1998,Premier League,Arsenal FC,winter,out,Christopher Wreh,15712,23,Liberia,Centre-Forward,CF,,AEK Athens,Greece,0.0,1
1998,Premier League,Aston Villa,summer,in,Alan Thompson,3485,24,England,Left Midfield,LM,,Bolton Wanderers,England,7200000.0,0
1998,Premier League,Aston Villa,summer,in,Paul Merson,3250,30,England,Attacking Midfield,AM,,Middlesbrough FC,England,6750000.0,0
1998,Premier League,Aston Villa,summer,in,Steve Watson,3309,24,England,Right-Back,RB,,Newcastle United,England,6000000.0,0
1998,Premier League,Aston Villa,summer,in,David Unsworth,3272,24,England,Left-Back,LB,,West Ham United,England,4600000.0,0
1998,Premier League,Aston Villa,summer,in,David James,3646,28,England,Goalkeeper,GK,,Liverpool FC,England,2400000.0,0
1998,Premier League,Aston Villa,winter,in,Dion Dublin,3763,29,England,Centre-Forward,CF,,Coventry City,England,8600000.0,0
1998,Premier League,Aston Villa,winter,in,Steve Stone,3364,27,England,Right Midfield,RM,,Nottingham Forest,England,8000000.0,0
1998,Premier League,Aston Villa,winter,in,Peter Enckelman,3719,21,Finland,Goalkeeper,GK,,Turun Palloseura,Finland,570000.0,0
1998,Premier League,Aston Villa,winter,in,Mark Delaney,3841,22,Wales,Right-Back,RB,,Cardiff City,Wales,375000.0,0
1998,Premier League,Aston Villa,winter,in,Neil Tarrant,210156,19,Scotland,Centre-Forward,CF,,Ross County FC,Scotland,375000.0,0
1998,Premier League,Aston Villa,winter,in,Colin Calderwood,103641,34,Scotland,Centre-Back,CB,,Tottenham Hotspur,England,330000.0,0
1998,Premier League,Aston Villa,summer,out,Dwight Yorke,3223,26,Trinidad and Tobago,Centre-Forward,CF,,Manchester United,England,19250000.0,0
1998,Premier League,Aston Villa,summer,out,David Unsworth,3272,24,England,Left-Back,LB,,Everton FC,England,4600000.0,0
1998,Premier League,Aston Villa,summer,out,Nélson,106821,26,Portugal,Right-Back,RB,,FC Porto,Portugal,1130000.0,0
1998,Premier League,Aston Villa,summer,out,Steve Staunton,3839,29,Ireland,Left-Back,LB,,Liverpool FC,England,0.0,0
1998,Premier League,Aston Villa,summer,out,Savo Milosevic,7896,24,Serbia,Centre-Forward,CF,,Real Zaragoza,Spain,0.0,0
1998,Premier League,Aston Villa,summer,out,Neil Davis,230934,24,England,Centre-Forward,CF,,Walsall FC,England,0.0,0
1998,Premier League,Aston Villa,winter,out,Gary Charles,106810,28,England,Right-Back,RB,,SL Benfica,Portugal,1000000.0,0
1998,Premier League,Aston Villa,winter,out,Alan Lee,12715,20,Ireland,Centre-Forward,CF,,Torquay United,England,0.0,1
1998,Premier League,Aston Villa,winter,out,Alan Lee,12715,20,Ireland,Centre-Forward,CF,,Port Vale FC,England,0.0,1
