season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2011,Laliga,Athletic Bilbao,summer,in,Ander Herrera,99343,21,Spain,Central Midfield,CM,7500000.0,Real Zaragoza,Spain,7500000.0,0
2011,Laliga,Athletic Bilbao,summer,out,Ion Vélez,54789,26,Spain,Centre-Forward,CF,800000.0,Girona FC,Spain,0.0,0
2011,Laliga,Athletic Bilbao,summer,out,Mikel Balenziaga,85258,23,Spain,Left-Back,LB,800000.0,Real Valladolid CF,Spain,0.0,0
2011,Laliga,Athletic Bilbao,summer,out,Urko Vera,92975,24,Spain,Centre-Forward,CF,400000.0,Hércules CF,Spain,0.0,0
2011,Laliga,Athletic Bilbao,summer,out,Iñigo Díaz de Cerio,38193,27,Spain,Centre-Forward,CF,1000000.0,CD Numancia,Spain,0.0,1
2011,Laliga,Athletic Bilbao,summer,out,Ustaritz,35554,28,Spain,Centre-Back,CB,1800000.0,Real Betis Balompié,Spain,0.0,1
2011,Laliga,Athletic Bilbao,summer,out,Galder Cerrajería,128452,22,Spain,Central Midfield,CM,300000.0,Real Murcia CF,Spain,0.0,1
2011,Laliga,Athletic Bilbao,summer,out,Pablo Orbaiz,7633,32,Spain,Defensive Midfield,DM,2500000.0,Olympiacos Piraeus,Greece,0.0,1
2011,Laliga,Atlético de Madrid,summer,in,Radamel Falcao,39152,25,Colombia,Centre-Forward,CF,25000000.0,FC Porto,Portugal,40000000.0,0
2011,Laliga,Atlético de Madrid,summer,in,Arda Turan,21369,24,Türkiye,Left Winger,LW,15500000.0,Galatasaray,Türkiye,13000000.0,0
2011,Laliga,Atlético de Madrid,summer,in,Sílvio,84511,23,Portugal,Right-Back,RB,7500000.0,SC Braga,Portugal,8000000.0,0
2011,Laliga,Atlético de Madrid,summer,in,Rúben Micael,84491,24,Portugal,Central Midfield,CM,4900000.0,FC Porto,Portugal,5000000.0,0
2011,Laliga,Atlético de Madrid,summer,in,Gabi,22969,27,Spain,Central Midfield,CM,3000000.0,Real Zaragoza,Spain,3000000.0,0
2011,Laliga,Atlético de Madrid,summer,in,Pizzi,64339,21,Portugal,Attacking Midfield,AM,4600000.0,SC Braga,Portugal,1500000.0,1
2011,Laliga,Atlético de Madrid,summer,in,Thibaut Courtois,108390,19,Belgium,Goalkeeper,GK,4000000.0,Chelsea FC,England,1200000.0,1
2011,Laliga,Atlético de Madrid,summer,in,Miranda,33357,26,Brazil,Centre-Back,CB,6500000.0,São Paulo Futebol Clube,Brazil,0.0,0
2011,Laliga,Atlético de Madrid,summer,in,Tiago Mendes,8538,30,Portugal,Central Midfield,CM,8000000.0,Juventus FC,Italy,0.0,0
2011,Laliga,Atlético de Madrid,summer,in,Adrián López,45383,23,Spain,Centre-Forward,CF,3500000.0,Deportivo de La Coruña,Spain,0.0,0
2011,Laliga,Atlético de Madrid,summer,in,Diego,4248,26,Brazil,Attacking Midfield,AM,12000000.0,VfL Wolfsburg,Germany,0.0,1
2011,Laliga,Atlético de Madrid,summer,in,Dani Pacheco,28285,20,Spain,Central Midfield,CM,100000.0,Liverpool FC,England,0.0,1
2011,Laliga,Atlético de Madrid,winter,in,Pizzi,64339,22,Portugal,Attacking Midfield,AM,7500000.0,SC Braga,Portugal,13500000.0,0
