season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
1998,Serie A,AC Fiorentina,summer,in,Jörg Heinrich,113,28,Germany,Left-Back,LB,,Borussia Dortmund,Germany,12600000.0,0
1998,Serie A,AC Fiorentina,summer,in,Moreno Torricelli,15769,28,Italy,Right-Back,RB,,Juventus FC,Italy,6200000.0,0
1998,Serie A,AC Fiorentina,summer,in,Tomas Repka,3647,24,Czech Republic,Centre-Back,CB,,AC Sparta Prague,Czech Republic,4500000.0,0
1998,Serie A,AC Fiorentina,summer,in,Carmine Esposito,287385,27,Italy,Centre-Forward,CF,,FC Empoli,Italy,3000000.0,0
1998,Serie A,AC Fiorentina,summer,in,Sead Zilic,1259,15,Bosnia-Herzegovina,Centre-Forward,CF,,FK Partizan Belgrade,Serbia,0.0,0
1998,Serie A,AC Fiorentina,summer,in,Guillermo Amor,104046,30,Spain,Central Midfield,CM,,FC Barcelona,Spain,0.0,0
1998,Serie A,AC Fiorentina,summer,in,Alessandro Zandonà,266596,22,Italy,Goalkeeper,GK,,Calcio Sandonà,Italy,,0
1998,Serie A,AC Fiorentina,winter,in,Georgios Vakouftsis,20815,18,Greece,Centre-Forward,CF,,Panathinaikos FC,Greece,1200000.0,0
1998,Serie A,AC Fiorentina,winter,in,Fabrizio Ficini,6023,25,Italy,Defensive Midfield,DM,,FC Empoli,Italy,,0
1998,Serie A,AC Fiorentina,summer,out,Edmundo,53219,28,Brazil,Second Striker,SS,,Clube de Regatas Vasco da Gama,Brazil,13760000.0,0
1998,Serie A,AC Fiorentina,summer,out,Michele Serena,5777,28,Italy,Left-Back,LB,,Atlético de Madrid,Spain,6000000.0,0
1998,Serie A,AC Fiorentina,summer,out,Andrey Kanchelskis,3742,29,Russia,Right Midfield,RM,,Rangers FC,Scotland,5500000.0,0
1998,Serie A,AC Fiorentina,summer,out,Stefan Schwarz,4123,29,Sweden,Central Midfield,CM,,Valencia CF,Spain,3500000.0,0
1998,Serie A,AC Fiorentina,summer,out,Valerio Fiori,5799,29,Italy,Goalkeeper,GK,,Piacenza FC,Italy,,0
1998,Serie A,AC Fiorentina,summer,out,Mirko Benin,30619,20,Italy,Attacking Midfield,AM,,AC Pistoiese,Italy,,0
1998,Serie A,AC Fiorentina,summer,out,Luca Vigiani,21237,21,Italy,Right Midfield,RM,,AS Lodigiani Calcio 1972,Italy,,0
1998,Serie A,AC Fiorentina,summer,out,Simone Bartoloni,446710,20,Italy,Defender,Defender,,AS Gubbio 1910,Italy,,0
1998,Serie A,AC Fiorentina,summer,out,Domenico Morfeo,5786,22,Italy,Attacking Midfield,AM,,AC Milan,Italy,0.0,1
1998,Serie A,AC Fiorentina,summer,out,Alessandro Agostini,17171,18,Italy,Left-Back,LB,,AC Pistoiese,Italy,0.0,1
1998,Serie A,AC Fiorentina,winter,out,Stefano Bettarini,6746,26,Italy,Left-Back,LB,,Bologna FC 1909,Italy,0.0,1
1998,Serie A,AC Milan,summer,in,Oliver Bierhoff,56,30,Germany,Centre-Forward,CF,,Udinese Calcio,Italy,12500000.0,0
1998,Serie A,AC Milan,summer,in,Thomas Helveg,5802,27,Denmark,Right-Back,RB,,Udinese Calcio,Italy,8500000.0,0
1998,Serie A,AC Milan,summer,in,Roberto Ayala,7565,25,Argentina,Centre-Back,CB,,SSC Napoli,Italy,7500000.0,0
1998,Serie A,AC Milan,summer,in,Andrés Guglielminpietro,5787,24,Argentina,Left Midfield,LM,,Club de Gimnasia y Esgrima La Plata,Argentina,5500000.0,0
1998,Serie A,AC Milan,summer,in,Jens Lehmann,122,28,Germany,Goalkeeper,GK,,FC Schalke 04,Germany,4300000.0,0
1998,Serie A,AC Milan,summer,in,Bruno N'Gotty,3964,27,France,Centre-Back,CB,,Paris Saint-Germain,France,3000000.0,0
1998,Serie A,AC Milan,summer,in,Luigi Sala,6254,24,Italy,Centre-Back,CB,,AS Bari,Italy,3000000.0,0
1998,Serie A,AC Milan,summer,in,Christian Abbiati,3507,20,Italy,Goalkeeper,GK,,Calcio Monza,Italy,1670000.0,0
1998,Serie A,AC Milan,summer,in,Luca Vitali,565068,18,Italy,Central Midfield,CM,,Fano Calcio,Italy,,0
1998,Serie A,AC Milan,summer,in,Domenico Morfeo,5786,22,Italy,Attacking Midfield,AM,,AC Fiorentina,Italy,0.0,1
1998,Serie A,AC Milan,summer,in,Nicola Corrent,21813,19,Italy,Central Midfield,CM,,Calcio Monza,Italy,,0
1998,Serie A,AC Milan,winter,in,Federico Giunti,6874,27,Italy,Defensive Midfield,DM,,AC Parma,Italy,250000.0,0
1998,Serie A,AC Milan,winter,in,Aliyu Datti,13436,16,Nigeria,Centre-Forward,CF,,Calcio Padova,Italy,,0
1998,Serie A,AC Milan,winter,in,Giorgio Frezzolini,7102,22,Italy,Goalkeeper,GK,,Cosenza Calcio 1914,Italy,,0
1998,Serie A,AC Milan,winter,in,Alessandro Iannuzzi,22276,23,Italy,Second Striker,SS,,SS Lazio,Italy,,0
1998,Serie A,AC Milan,summer,out,Patrick Kluivert,4385,22,Netherlands,Centre-Forward,CF,,FC Barcelona,Spain,12600000.0,0
1998,Serie A,AC Milan,summer,out,Marcel Desailly,3154,29,France,Centre-Back,CB,,Chelsea FC,England,6750000.0,0
1998,Serie A,AC Milan,summer,out,Filippo Maniero,7275,25,Italy,Centre-Forward,CF,,AC Venezia 1907,Italy,5000000.0,0
