season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
1996,Serie A,AC Fiorentina,summer,in,Luis Oliveira,22087,27,Belgium,Centre-Forward,CF,,Cagliari Calcio,Italy,7000000.0,0
1996,Serie A,AC Fiorentina,summer,in,Giulio Falcone,5989,22,Italy,Centre-Back,CB,,Torino Calcio,Italy,1050000.0,0
1996,Serie A,AC Fiorentina,summer,in,Aldo Firicano,160168,29,Italy,Centre-Back,CB,,Cagliari Calcio,Italy,,0
1996,Serie A,AC Fiorentina,summer,in,Vittorio Pusceddu,223354,32,Italy,Left-Back,LB,,Cagliari Calcio,Italy,,0
1996,Serie A,AC Fiorentina,summer,in,Danilo Stefani,254238,17,Italy,Central Midfield,CM,,AC Nuova Maceratese,Italy,,0
1996,Serie A,AC Fiorentina,winter,in,Andrey Kanchelskis,3742,28,Russia,Right Midfield,RM,,Everton FC,England,8000000.0,0
1996,Serie A,AC Fiorentina,summer,out,Lorenzo Amoruso,4288,25,Italy,Centre-Back,CB,,Rangers FC,Scotland,6000000.0,0
1996,Serie A,AC Fiorentina,summer,out,Alberto Malusci,15538,24,Italy,Sweeper,SW,,Olympique Marseille,France,1200000.0,0
1996,Serie A,AC Fiorentina,summer,out,Andrea Sottil,5886,22,Italy,Centre-Back,CB,,Atalanta BC,Italy,,0
1996,Serie A,AC Fiorentina,summer,out,Cristiano Zanetti,5783,19,Italy,Defensive Midfield,DM,,AC Venezia 1907,Italy,,0
1996,Serie A,AC Fiorentina,summer,out,Alessandro Orlando,177685,26,Italy,Left-Back,LB,,Udinese Calcio,Italy,,0
1996,Serie A,AC Fiorentina,summer,out,Giacomo Banchelli,223333,23,Italy,Centre-Forward,CF,,Cagliari Calcio,Italy,,0
1996,Serie A,AC Fiorentina,summer,out,Federico Bettoni,227272,24,Italy,Midfielder,Midfielder,,Foggia Calcio,Italy,,0
1996,Serie A,AC Fiorentina,summer,out,Francesco Flachi,6781,21,Italy,Centre-Forward,CF,,AS Bari,Italy,0.0,1
1996,Serie A,AC Fiorentina,summer,out,Luca Vigiani,21237,19,Italy,Right Midfield,RM,,US Fiorenzuola 1922,Italy,0.0,1
1996,Serie A,AC Fiorentina,summer,out,Christian Amoroso,5995,19,Italy,Central Midfield,CM,,FC Empoli,Italy,0.0,1
