season,league,club,window,movement,player_name,player_id,age,nationality,position,pos,market_value,dealing_club,dealing_country,fee,is_loan
2006,Saudi Pro League,Al-Ahli SFC,summer,in,Darko Anic,3215,32,Serbia,Central Midfield,CM,300000.0,CD Nacional,Portugal,0.0,0
2006,Saudi Pro League,Al-Ahli SFC,summer,in,Khaled Badra,49834,33,Tunisia,Centre-Back,CB,,Esperance Tunis,Tunisia,0.0,1
2006,Saudi Pro League,Al-Ahli SFC,winter,in,Abdullah Jumaan Al-Dossary,28368,29,Saudi Arabia,Centre-Forward,CF,,Al-Hilal SFC,Saudi Arabia,,0
2006,Saudi Pro League,Al-Ahli SFC,winter,in,Caio,106082,26,Brazil,Attacking Midfield,AM,,Coritiba Foot Ball Club,Brazil,0.0,1
2006,Saudi Pro League,Al-Ahli SFC,summer,out,Ali Dhawi,153426,22,Saudi Arabia,Second Striker,SS,,Najran SC,Saudi Arabia,0.0,0
2006,Saudi Pro League,Al-Ahli SFC,summer,out,Husain Turki,364102,24,Saudi Arabia,Centre-Forward,CF,,Al-Khaleej FC,Saudi Arabia,,0
2006,Saudi Pro League,Al-Ahli SFC,summer,out,Abdelhak Ait Laarif,184092,22,Morocco,Attacking Midfield,AM,,Al-Gharafa SC,Qatar,,0
2006,Saudi Pro League,Al-Ahli SFC,summer,out,Rogério Paulista,815215,31,Brazil,Centre-Forward,CF,,Portuguesa,Brazil,,0
2006,Saudi Pro League,Al-Ahli SFC,summer,out,Naif Al-Qadi,31661,27,Saudi Arabia,Centre-Back,CB,350000.0,Al-Rayyan SC,Qatar,0.0,1
2006,Saudi Pro League,Al-Ahli SFC,summer,out,Taiseer Al-Jassam,93465,22,Saudi Arabia,Central Midfield,CM,,Al-Gharafa SC,Qatar,0.0,1
2006,Saudi Pro League,Al-Ahli SFC,summer,out,Assaf Al-Qarni,31412,22,Saudi Arabia,Goalkeeper,GK,,Al-Wehda FC,Saudi Arabia,0.0,1
2006,Saudi Pro League,Al-Ahli SFC,summer,out,Dejan Damjanović,42434,24,Montenegro,Centre-Forward,CF,,FK Bezanija,Serbia,0.0,1
2006,Saudi Pro League,Al-Ahli SFC,winter,out,Waleed Al-Gizani,153630,25,Saudi Arabia,Centre-Forward,CF,,Al-Shabab FC,Saudi Arabia,82000.0,1
2006,Saudi Pro League,Al-Ahli SFC,winter,out,Saleh Al-Mohammadi,710068,26,Saudi Arabia,Attacking Midfield,AM,,Al-Faisaly FC,Saudi Arabia,0.0,1
2006,Saudi Pro League,Al-Ahli SFC,winter,out,Safwan Al-Muwallid,153284,23,Saudi Arabia,Second Striker,SS,,Al-Shabab FC,Saudi Arabia,0.0,1
2006,Saudi Pro League,Al-Ettifaq FC,summer,in,Wajih Sghaier,79228,27,Tunisia,Attacking Midfield,AM,,Esperance Tunis,Tunisia,160000.0,0
2006,Saudi Pro League,Al-Ettifaq FC,winter,in,Salman Al-Hariri,245283,18,Saudi Arabia,Left Midfield,LM,,Al-Noor Club,Saudi Arabia,154000.0,0
2006,Saudi Pro League,Al-Ettifaq FC,winter,in,Ousmane N'Doye,6973,28,Senegal,Defensive Midfield,DM,750000.0,Académica Coimbra,Portugal,0.0,1
2006,Saudi Pro League,Al-Ettifaq FC,summer,out,Saad Al-Aboud,1136894,22,Saudi Arabia,Left Midfield,LM,,Al-Ittihad Club,Saudi Arabia,801000.0,1
2006,Saudi Pro League,Al-Ettifaq FC,summer,out,Rabii Laafoui,764334,30,Morocco,Striker,Striker,,Busaiteen Club,Bahrain,0.0,0
2006,Saudi Pro League,Al-Ettifaq FC,summer,out,Rabil Lafoui,184093,30,Morocco,Striker,Striker,,Moghreb Atlético Tétouan,Morocco,,0
2006,Saudi Pro League,Al-Ettifaq FC,summer,out,Hamid Nater,312789,25,Morocco,Midfielder,Midfielder,,Raja Club Athletic,Morocco,,0
2006,Saudi Pro League,Al-Ettifaq FC,summer,out,Abdellatif Jrindou,110039,31,Morocco,Centre-Back,CB,,Raja Club Athletic,Morocco,,0
2006,Saudi Pro League,Al-Ettifaq FC,summer,out,Luís Alberto,58436,22,Brazil,Defensive Midfield,DM,,Esporte Clube Bahia,Brazil,0.0,1
2006,Saudi Pro League,Al-Ettifaq FC,winter,out,Ahmed Al-Bahri,39362,26,Saudi Arabia,Right-Back,RB,450000.0,Al-Nassr FC,Saudi Arabia,609000.0,0
2006,Saudi Pro League,Al-Ettifaq FC,winter,out,Yaw Preko,7247,32,Ghana,Centre-Forward,CF,900000.0,Hoang Anh Gia Lai FC,Vietnam,0.0,0
2006,Saudi Pro League,Al-Ettifaq FC,winter,out,André Neles,17600,29,Equatorial Guinea,Centre-Forward,CF,50000.0,Fortaleza Esporte Clube,Brazil,0.0,1
2006,Saudi Pro League,Al-Ettifaq FC,winter,out,Saad Al-Aboud,1136894,22,Saudi Arabia,Left Midfield,LM,,Al-Faisaly FC,Saudi Arabia,0.0,1
2006,Saudi Pro League,Al-Faisaly FC,summer,in,Jaber Al-Aameri,141799,20,Saudi Arabia,Goalkeeper,GK,,Al-Ittihad Club U23 (- 2022),Saudi Arabia,0.0,0
2006,Saudi Pro League,Al-Faisaly FC,summer,in,Saad Al-Zahrani,153286,26,Saudi Arabia,Striker,Striker,,Al-Nassr FC,Saudi Arabia,0.0,0
2006,Saudi Pro League,Al-Faisaly FC,summer,in,Ahmad Al-Jahawi,1202141,26,Saudi Arabia,Left-Back,LB,,Al-Nassr FC,Saudi Arabia,0.0,0
2006,Saudi Pro League,Al-Faisaly FC,summer,in,Richard Massolin,25528,30,Martinique,Centre-Back,CB,,Al-Muharraq SC,Bahrain,,0
2006,Saudi Pro League,Al-Faisaly FC,summer,in,Nasser Al-Halawi,512746,27,Saudi Arabia,Defender,Defender,,Al-Nassr FC,Saudi Arabia,,0
2006,Saudi Pro League,Al-Faisaly FC,summer,in,Wasl Al-Thowaibi,159569,26,Saudi Arabia,Midfielder,Midfielder,,Al-Shabab FC,Saudi Arabia,,0
2006,Saudi Pro League,Al-Faisaly FC,winter,in,Saleh Al-Mohammadi,710068,26,Saudi Arabia,Attacking Midfield,AM,,Al-Ahli SFC,Saudi Arabia,0.0,1
